Wall time,Step,Value
1610013344.885175,1,0.19471561908721924
1610016083.6392353,2,0.2083805352449417
1610018832.8931856,3,0.21543513238430023
1610021592.2483146,4,0.2213752716779709
1610024359.5192807,5,0.22366957366466522
1610027133.3302445,6,0.22561810910701752
1610029911.0267408,7,0.22666232287883759
1610032688.3474586,8,0.22788193821907043
1610035468.0917811,9,0.22764934599399567
1610038238.715699,10,0.22815783321857452
1610041017.7486918,11,0.22788336873054504
1610043791.1828475,12,0.2282126545906067
1610046568.7719963,13,0.22740072011947632
1610049341.0485685,14,0.22721470892429352
1610056534.501411,15,0.23196367919445038
1610061829.0611336,16,0.23474328219890594
1610067145.1914477,17,0.23661740124225616
1610072473.1988835,18,0.23623456060886383
1610077795.7357857,19,0.23699820041656494
1610083145.5203164,20,0.2378578633069992
1610088490.2671814,21,0.2397812455892563
1610093826.4617028,22,0.2378465086221695
1610099170.8759892,23,0.2374987155199051
1610104529.9309227,24,0.2375349998474121
1610109877.011168,25,0.2365550845861435
1610115152.0817142,26,0.23539242148399353
1610120448.823982,27,0.23561598360538483
1610125767.7996387,28,0.23499763011932373
1610131095.4642253,29,0.23484502732753754
1610136457.5580432,30,0.23387661576271057
1610141746.6068406,31,0.23418278992176056
1610147040.2786722,32,0.23318815231323242
1610152332.6368463,33,0.2318905144929886
1610157655.438322,34,0.23081086575984955
1610162997.955219,35,0.23089098930358887
1610168345.8533647,36,0.2295900583267212
1610173693.1306646,37,0.22915717959403992
1610179030.2392712,38,0.22837433218955994
1610184368.3490503,39,0.22801527380943298
1610189690.582254,40,0.2272997945547104
