Wall time,Step,Value
1610302876.0943758,1,0.16145549714565277
1610305301.0895352,2,0.1720903366804123
1610307648.1548758,3,0.1780977100133896
1610310027.714827,4,0.18021254241466522
1610312444.688635,5,0.18344083428382874
1610314752.4739177,6,0.18444018065929413
1610317100.6313283,7,0.1867247372865677
1610319540.157483,8,0.18675918877124786
1610321921.286154,9,0.18656297028064728
1610324333.3640606,10,0.18866921961307526
1610326824.7856233,11,0.18873102962970734
1610329269.4026444,12,0.1880471259355545
1610331673.5106149,13,0.18821442127227783
1610334069.3128824,14,0.19013236463069916
1610336472.6409366,15,0.1891372948884964
1610338878.3287418,16,0.18901307880878448
1610341287.1405156,17,0.1885092854499817
