Wall time,Step,Value
1610013609.803043,1,0.16339534521102905
1610017244.6941054,2,0.17928844690322876
1610020882.1358085,3,0.1868191361427307
1610024529.6303737,4,0.18968412280082703
1610028235.2995007,5,0.19182895123958588
1610031909.4873466,6,0.1935606747865677
1610098377.4189296,7,0.19533641636371613
1610102068.533811,8,0.19237034022808075
1610105715.3039367,9,0.19387905299663544
1610109383.752626,10,0.19703426957130432
1610121938.2015364,11,0.19643670320510864
1610125633.8780024,12,0.19886203110218048
1610129368.7118816,13,0.19900904595851898
1610180425.5625181,14,0.19850273430347443
1610184062.2077866,15,0.1969643533229828
