Wall time,Step,Value
1610013018.549235,1,3.93925404548645
1610015756.8457317,2,3.4972927570343018
1610018502.925237,3,3.378835916519165
1610021261.2761283,4,3.3043296337127686
1610024026.61957,5,3.2493739128112793
1610026800.857388,6,3.208557605743408
1610029577.7820184,7,3.172004222869873
1610032355.2444546,8,3.1400375366210938
1610035134.9826798,9,3.1123170852661133
1610037905.7120054,10,3.08715558052063
1610040684.4283237,11,3.0627808570861816
1610043459.0190535,12,3.0473833084106445
1610046236.1819303,13,3.0305001735687256
1610049008.1352248,14,3.0112030506134033
1610056206.9790006,15,3.109086275100708
1610061499.4598503,16,3.043400526046753
1610066814.2415452,17,2.99056077003479
1610072141.1848116,18,2.9461722373962402
1610077463.8345184,19,2.9096524715423584
1610082813.5167546,20,2.8767528533935547
1610088159.576931,21,2.8429548740386963
1610093495.1142952,22,2.8106441497802734
1610098837.3421211,23,2.78169322013855
1610104195.3113225,24,2.759681463241577
1610109548.9071803,25,2.7366034984588623
1610114822.7164226,26,2.716963768005371
1610120118.859097,27,2.692383050918579
1610125436.083204,28,2.668301582336426
1610130763.8047738,29,2.646777391433716
1610136129.2834966,30,2.585331678390503
1610141417.9721847,31,2.54899001121521
1610146711.0530815,32,2.5256779193878174
1610152002.6920938,33,2.505249261856079
1610157322.7964807,34,2.4873859882354736
1610162662.9696274,35,2.4716014862060547
1610168011.221329,36,2.4572646617889404
1610173360.0783167,37,2.4443187713623047
1610178696.210164,38,2.3997504711151123
1610184033.4776158,39,2.3716087341308594
1610189356.2034717,40,2.3498342037200928
