Wall time,Step,Value
1609893327.2483463,1,0.19257979094982147
1609896072.8167546,2,0.2092786580324173
1609898825.2740185,3,0.21674403548240662
1609901585.3845186,4,0.22051402926445007
1609904355.146424,5,0.22439360618591309
1609907121.3715403,6,0.22236104309558868
1609909893.3709111,7,0.22648945450782776
1609912666.0790026,8,0.22791427373886108
1609915444.3484306,9,0.2279907763004303
1609918215.4165528,10,0.2265647053718567
1609920991.8928757,11,0.22815006971359253
1609923768.5500464,12,0.2285865843296051
1609926552.808522,13,0.22865518927574158
1609929326.417269,14,0.2274000197649002
1609935267.983908,15,0.2321724146604538
1609940589.835316,16,0.23410868644714355
1609945929.024787,17,0.23625797033309937
1609951285.943857,18,0.2366039752960205
1609956662.4320571,19,0.2367755025625229
1609962040.94668,20,0.23735933005809784
1609967608.7716994,21,0.23650886118412018
1609972910.3812554,22,0.2375873327255249
1609978235.6631038,23,0.23742003738880157
1609983582.8431983,24,0.23628956079483032
1609988943.6279504,25,0.23604407906532288
1609994313.5151181,26,0.2358856201171875
1609999681.8178804,27,0.23572997748851776
1610005070.2960255,28,0.23534756898880005
