Wall time,Step,Value
1609893001.8583515,1,3.967129945755005
1609895747.863961,2,3.5099661350250244
1609898498.9510963,3,3.385037660598755
1609901256.4592967,4,3.3074331283569336
1609904025.0370102,5,3.25102162361145
1609906792.439686,6,3.2055418491363525
1609909562.169848,7,3.1677072048187256
1609912335.1245458,8,3.1345953941345215
1609915113.3450792,9,3.1045665740966797
1609917884.9016857,10,3.0779690742492676
1609920659.5712864,11,3.0524771213531494
1609923437.0235434,12,3.0307559967041016
1609926220.6621718,13,3.0121724605560303
1609928995.8627126,14,2.9940950870513916
1609934940.473022,15,3.10443377494812
1609940261.0239177,16,3.0341403484344482
1609945598.4427812,17,2.9799275398254395
1609950955.3183188,18,2.935673952102661
1609956329.7908578,19,2.8963117599487305
1609961708.3082707,20,2.862205982208252
1609967228.216057,21,2.829080104827881
1609972583.247547,22,2.796950578689575
1609977905.6299124,23,2.7713241577148438
1609983251.7666783,24,2.7440576553344727
1609988611.8704693,25,2.7194645404815674
1609993980.903179,26,2.69560170173645
1609999349.504334,27,2.672454833984375
1610004738.205905,28,2.650371551513672
